month_range,electric motorcycle,all,year,month,monthly_electric_increase
10701,117666,13764138,2018,1,0
10702,121496,13769362,2018,2,3830
10703,126922,13776210,2018,3,5426
10704,131564,13780644,2018,4,4642
10705,137076,13788809,2018,5,5512
10706,143159,13801770,2018,6,6083
10707,150198,13802272,2018,7,7039
10708,156942,13805641,2018,8,6744
10709,164877,13825385,2018,9,7935
10710,174853,13828331,2018,10,9976
10711,184380,13832492,2018,11,9527
10712,194633,13835520,2018,12,10253
10801,201980,13843049,2019,1,7347
10802,207335,13849120,2019,2,5355
10803,217020,13859680,2019,3,9685
10804,226822,13871557,2019,4,9802
10805,238668,13880712,2019,5,11846
10806,250477,13895902,2019,6,11809
10807,262865,13906380,2019,7,12388
10808,275301,13917504,2019,8,12436
10809,288239,13940826,2019,9,12938
10810,306997,13954886,2019,10,18758
10811,331477,13973101,2019,11,24480
10812,359934,13992922,2019,12,28457
10901,361841,13983664,2020,1,1907
10902,368866,14001621,2020,2,7025
10903,378891,14007440,2020,3,10025
10904,387453,14006530,2020,4,8562
10905,393628,14013104,2020,5,6175
10906,400707,14023314,2020,6,7079
10907,410469,14039328,2020,7,9762
10908,418387,14059167,2020,8,7918
10909,428368,14086051,2020,9,9981
10910,437254,14100364,2020,10,8886
10911,445878,14109762,2020,11,8624
10912,455764,14103763,2020,12,9886
11001,456941,14115942,2021,1,1177
11002,458399,14123169,2021,2,1458
11003,465457,14139712,2021,3,7058
11004,473672,14152243,2021,4,8215
11005,481316,14165552,2021,5,7644
11006,487278,14173019,2021,6,5962
11007,494347,14180849,2021,7,7069
11008,501654,14195728,2021,8,7307
11009,510734,14218919,2021,9,9080
11010,521336,14237938,2021,10,10602
11011,532933,14258619,2021,11,11597
11012,546438,14266920,2021,12,13505
11101,549197,14275043,2022,1,2759
11102,553320,14284546,2022,2,4123
11103,562772,14296579,2022,3,9452
11104,568921,14306658,2022,4,6149
11105,575553,14311888,2022,5,6632
11106,583126,14321328,2022,6,7573
11107,590244,14328497,2022,7,7118
11108,597553,14342361,2022,8,7309
11109,605941,14364537,2022,9,8388
11110,613087,14375666,2022,10,7146
11111,621580,14385327,2022,11,8493
11112,630223,14390626,2022,12,8643
11201,632419,14397548,2023,1,2196
11202,637599,14409420,2023,2,5180
11203,645032,14423982,2023,3,7433
11204,650299,14432810,2023,4,5267
11205,656809,14446094,2023,5,6510
11206,663899,14463407,2023,6,7090
11207,669881,14475012,2023,7,5982
11208,676605,14494292,2023,8,6724
11209,683479,14520083,2023,9,6874
11210,690776,14532264,2023,10,7297
11211,696672,14541663,2023,11,5896
11212,703879,14545338,2023,12,7207
11301,705761,14549171,2024,1,1882
11302,708116,14557899,2024,2,2355
11303,712141,14569549,2024,3,4025
11304,717089,14578873,2024,4,4948
11305,725407,14594083,2024,5,8318
11306,733910,14601975,2024,6,8503
11307,740898,14611708,2024,7,6988
11308,748202,14624381,2024,8,7304
11309,755709,14642760,2024,9,7507
