,Unnamed: 0,行政區,電動機車數量,充電站數量,每站服務車輛數,未來車輛數量,未來每站服務車輛數,人口密度,面積,每平方公里電動機車數量,每平方公里充電站數量
0,0,中山區,10667,15,711.1333333333333,11733.7,782.2466666666667,15767,13.6821,779.6317816709424,1.0963229328831101
1,1,中正區,7538,9,837.5555555555555,8291.800000000001,921.3111111111112,19581,7.6071,990.9163807495629,1.183105256931025
2,2,信義區,6271,13,482.38461538461536,6898.1,530.623076923077,18338,11.2077,559.5260401331227,1.1599168428848023
3,3,內湖區,9628,17,566.3529411764706,10590.8,622.9882352941177,8694,31.5787,304.8890549642639,0.5383375503108108
4,4,北投區,7406,13,569.6923076923077,8146.6,626.6615384615385,4249,56.8216,130.33775888042575,0.22878623622002903
5,5,南港區,3875,9,430.55555555555554,4262.5,473.6111111111111,5178,21.8424,177.40724462513276,0.41204263267772767
6,6,士林區,7967,18,442.6111111111111,8763.7,486.8722222222223,4250,62.3682,127.74138102430405,0.2886086178533291
7,7,大同區,4367,9,485.22222222222223,4803.700000000001,533.7444444444445,21025,5.6815,768.6350435624395,1.5840887089677023
8,8,大安區,6834,15,455.6,7517.400000000001,501.16,25557,11.3614,601.5103772422412,1.32025982713398
9,9,文山區,7531,10,753.1,8284.1,828.4100000000001,8227,31.509,239.01107620045067,0.3173696404201974
10,10,松山區,11564,15,770.9333333333333,12720.4,848.0266666666668,20720,9.2878,1245.074183337281,1.6150218566291263
11,11,萬華區,5372,10,537.2,5909.200000000001,590.9200000000001,19468,8.8522,606.8547931587628,1.129662682722939
